kanji,keyword,meanings,story,frequency_rank,anki_tag
時,time,"time, hour","In ancient Japan, *time* of DAY was announced with a iron bell at BUDDHIST TEMPLES.",19,
寺,Buddhist temple,Buddhist temple,at the SOIL where there's MEASUREMENT of karma is a *Buddhist temple*,825,
員,employee,"employee, member, number, the one in charge",the MOUTH behind the counter handling the MONEY is the *employee* of the shop,158,
貼,stick,"stick, paste, apply","regarding the MONEY, the FORTUNE TELLER tells you to *stick* to your plan",1049,
児,newborn babe's,"newborn babe, child, young of animals","in the OLD DAYS, my HUMAN LEGS were like a *newborn babe's*",654,
元,beginning,"beginning, former time, origin",TWO pairs of HUMAN LEGS can start a new *beginning*,244,
頁,page,"page, rtk-primitive: head, leaf",ONE DROP of ink from a SHELLFISH can fill a whole *page*.,2088,suspend_rare
頑,stubborn,"stubborn, foolish, firmly",A *stubborn* person in the BEGINNING gets something into their HEAD and can't change their mind.,658,
凡,commonplace,"commonplace, ordinary, mediocre",A DROP of rain in the WIND… what a *commonplace* rainy season…,1778,
負,defeat,"defeat, negative, -, minus, bear, owe, assume a responsibility","TIED UP, the SHELLFISH had to accept *defeat*!",475,
句,phrases,"phrase, clause, sentence, passage, paragraph, counter for haiku",Some Japanese *phrases* are difficult to WRAP your MOUTH around,1180,
肌,texture,"texture, skin, body, grain","when the FLESH is in the WIND for a long time, it gains a weird *texture*: goosebumps",809,
旬,decameron,"decameron, ten-day period, season (for specific products)",Hesig should be BOUND for a DAY (or maybe 10 days - a decameron) for calling this Kanji *decameron*,1107,
勺,ladle,"ladle, one tenth of a go, dip",a *ladle* can BIND UP at least a DROP of the soup,9999,suspend_rare
的,bull's eye,"bull's eye, mark, target, object, adjective ending",She scooped the *bull's eye* from the soup with a WHITE LADLE,56,
首,neck,"neck, counter for songs and poems","HORNS and a NOSE are visible from the moose head on the wall, which was cut of from the moose's *neck*",798,
具,tool,"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture","in order to focus your EYE on ONE thing with ANIMAL LEGS, you need a *tool* like a microscope",461,
乙,fishguts,"rtk:fish guts, fishhook; the latter, duplicate, strange, witty","This is a fish hook, that pulls out the *fishguts*",1547,
乱,riot,"riot, war, disorder, disturb",the *riot* was broken up by dragging the protesters by their TONGUES with a FISHHOOK,1108,
直,straightaway,"straightaway, honesty, frankness, fix, repair",a beast with TEN EYES on your FISHOOK? run *straightaway* because that cannot be fixed in all honesty,286,
真,truth,"true, reality, Buddhist sect","with TEN MICROSCOPES, you are getting closer to the natural *truth*",118,
工,craft,"craft, construction, katakana e radical (no. 48)",atomic,325,
有,possess,"possess, have, exist, happen, occur, approx",by the SIDE of my BODY is what I *possess*,197,
賄,bribed,"bribe, board, supply, finance",a SHELLFISH with many POSESSIONS probably has been *bribed*,2525,suspend_rare
貢,tribute,"tribute, support, finance",a CRAFT which costs lots of MONEY is a *tribute* to a great person.,1520,
項,paragraphs,"paragraph, nape of neck, clause, item, term (expression)",CRAFTing a PAGE is done via *paragraphs*,418,
召,seduce,"seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)",To *seduce* is to accomplish with the MOUTH what cannot (or should not) be done with a SWORD.,1456,
昭,shining,"shining, bright",all DAY only SEDUCING requires a *shining* personality,1028,
則,rule,"rule, law, follow, based on, model after","unfortunately, MONEY and SWORDS (violence) *rule* the world",835,
副,vice-,"vice-, assistant, aide, duplicate, copy","The WEALTHY woman with the SWORD standing next to the king, that's the *vice-*boss who does all the dirty work.",1150,
丁,street,"street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign",atomic,839,
町,town,"town, village, block, street",a FIELD and a STREET is for a *town* all that you need,362,
可,Can,"can, passable, approval","A MOUTH on the STREET asking for things: ""*Can* I get some help?!",169,
頂,place it on my head,"place on the head, receive, top of head, top, summit, peak","when riding the bike on the STREET, i take a HEAD protection (helmet) and *place it on my head*",395,
子,child,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",atomic,43,
孔,cavity,"cavity, hole, slit, very, great, exceedingly",a CHILD only has a FISHHOOK available to carve a *cavity*,1966,suspend_rare
了,complete,"complete, finish",atomic,348,
女,woman,"woman, female",atomic,173,
好,fond,"fond, pleasing, like something",a WOMAN is *fond* of her CHILD,157,
如,likeness,"likeness, like, such as, as if, better, best, equal",WOMEN with the same lipstick on their MOUTH have a certain *likeness*,1360,
母,mother,mother,atomic,554,
貫,pierced,"pierce, 8 1/3lbs, penetrate, brace",The sad fate of MOTHER SHELLFISH was to be captured and *pierced* to make an earring.,1480,
兄,elder brother,"elder brother, big brother",the *elder brother* can be simplified to a MOUTH with HUMAN LEGS because he commands so much,1024,
呪,spell,"spell, curse, charm, malediction",words from the MOUTH of the ELDER BROTHER can feel like a *spell* or curse on the younger siblings,1766,
克,overcome,"overcome, kindly, skillfully",TEN ELDER BROTHERS can *overcome* almost any problem,1639,
小,little,"little, small",atomic,133,
少,few,"few, little",atomic,196,
大,large,"large, big",atomic,7,
多,many,"many, frequent, much",drinking TWO EVENINGS in a row is *many*,138,
夕,evening,evening,atomic,756,
汐,eventide,"eventide, tide, salt water, opportunity",the EVENING by the WATER = *eventide* (just a poetic evening),9999,suspend_rare
外,outside,outside,"In Minecraft, when *outside* in the EVENING, you need to protect yourself with a MAGIC WAND",125,
