kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
員	employee	employee, member, number, the one in charge	the MOUTH behind the counter handling the MONEY is the *employee* of the shop	158	0056	"<img src=""054e1.svg"">"	
見	see	see, hopes, chances, idea, opinion, look at, visible	atomic	4	0057	"<img src=""0898b.svg"">"	
児	newborn babe's	newborn babe, child, young of animals	in the OLD DAYS, my HUMAN LEGS were like a *newborn babe's*	654	0058	"<img src=""05150.svg"">"	
元	beginning	beginning, former time, origin	TWO pairs of HUMAN LEGS can start a new *beginning*	244	0059	"<img src=""05143.svg"">"	
頁	page	page, rtk-primitive: head, leaf	ONE DROP of ink from a SHELLFISH can fill a whole *page*.	2088	0060	"<img src=""09801.svg"">"	suspend_rare
頑	stubborn	stubborn, foolish, firmly	A *stubborn* person in the BEGINNING gets something into their HEAD and can't change their mind.	658	0061	"<img src=""09811.svg"">"	
凡	commonplace	commonplace, ordinary, mediocre	A DROP of rain in the WIND… what a *commonplace* rainy season…	1778	0062	"<img src=""051e1.svg"">"	
負	defeat	defeat, negative, -, minus, bear, owe, assume a responsibility	TIED UP, the SHELLFISH had to accept *defeat*!	475	0063	"<img src=""08ca0.svg"">"	
万	ten thousand	ten thousand, 10,000	*ten thousand* yen can be ONE bill or a BUNDLE of 1000 yen bills	346	0064	"<img src=""04e07.svg"">"	
句	phrases	phrase, clause, sentence, passage, paragraph, counter for haiku	Some Japanese *phrases* are difficult to WRAP your MOUTH around	1180	0065	"<img src=""053e5.svg"">"	
肌	texture	texture, skin, body, grain	when the FLESH is in the WIND for a long time, it gains a weird *texture*: goosebumps	809	0066	"<img src=""0808c.svg"">"	
旬	decameron	decameron, ten-day period, season (for specific products)	Hesig should be BOUND for a DAY (or maybe 10 days - a decameron) for calling this Kanji *decameron*	1107	0067	"<img src=""065ec.svg"">"	
勺	ladle	ladle, one tenth of a go, dip	a *ladle* can BIND UP at least a DROP of the soup	9999	0068	"<img src=""052fa.svg"">"	suspend_rare
的	bull's eye	bull's eye, mark, target, object, adjective ending	She scooped the *bull's eye* from the soup with a WHITE LADLE	56	0069	"<img src=""07684.svg"">"	
首	neck	neck, counter for songs and poems	HORNS and a NOSE are visible from the moose head on the wall, which was cut of from the moose's *neck*	798	0070	"<img src=""09996.svg"">"	
乙	fishguts	rtk:fish guts, fishhook; the latter, duplicate, strange, witty	This is a fish hook, that pulls out the *fishguts*	1547	0071	"<img src=""04e59.svg"">"	
乱	riot	riot, war, disorder, disturb	the *riot* was broken up by dragging the protesters by their TONGUES with a FISHHOOK	1108	0072	"<img src=""04e71.svg"">"	
直	straightaway	straightaway, honesty, frankness, fix, repair	a beast with TEN EYES on your FISHOOK? run *straightaway* because that cannot be fixed in all honesty	286	0073	"<img src=""076f4.svg"">"	
具	tool	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture	in order to focus your EYE on ONE thing with ANIMAL LEGS, you need a *tool* like a microscope	461	0074	"<img src=""05177.svg"">"	
真	truth	true, reality, Buddhist sect	with TEN MICROSCOPES, you are getting closer to the natural *truth*	118	0075	"<img src=""0771f.svg"">"	
工	craft	craft, construction, katakana e radical (no. 48)	atomic	325	0076	"<img src=""05de5.svg"">"	
左	left	left	the *left* SIDE of my brain is for CRAFTS	687	0077	"<img src=""05de6.svg"">"	
右	right	right	the *right* SIDE of my brain is for using my MOUTH	685	0078	"<img src=""053f3.svg"">"	
有	possess	possess, have, exist, happen, occur, approx	by the SIDE of my BODY is what I *possess*	197	0079	"<img src=""06709.svg"">"	
賄	bribed	bribe, board, supply, finance	a SHELLFISH with many POSESSIONS probably has been *bribed*	2525	0080	"<img src=""08cc4.svg"">"	suspend_rare
貢	tribute	tribute, support, finance	a CRAFT which costs lots of MONEY is a *tribute* to a great person.	1520	0081	"<img src=""08ca2.svg"">"	
項	paragraphs	paragraph, nape of neck, clause, item, term (expression)	CRAFTing a PAGE is done via *paragraphs*	418	0082	"<img src=""09805.svg"">"	
刀	sword	sword, saber, knife	atomic	1570	0083	"<img src=""05200.svg"">"	
刃	blade	blade, sword, edge	a SWORD with A DROP of blood is the *blade*	1843	0084	"<img src=""05203.svg"">"	suspend_rare
切	cut	cut, cutoff, be sharp	The SEVEN samurai used their SWORDS to *cut* their opponents.	174	0085	"<img src=""05207.svg"">"	
召	seduce	seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)	To *seduce* is to accomplish with the MOUTH what cannot (or should not) be done with a SWORD.	1456	0086	"<img src=""053ec.svg"">"	
昭	shining	shining, bright	all DAY only SEDUCING requires a *shining* personality	1028	0087	"<img src=""0662d.svg"">"	
則	rule	rule, law, follow, based on, model after	unfortunately, MONEY and SWORDS (violence) *rule* the world	835	0088	"<img src=""05247.svg"">"	
副	vice-	vice-, assistant, aide, duplicate, copy	The WEALTHY woman with the SWORD standing next to the king, that's the *vice-*boss who does all the dirty work.	1150	0089	"<img src=""0526f.svg"">"	
別	separation	separate, branch off, diverge, fork, another, extra, specially	strategic *separation* is what SWORDSmen decide for when using their MOUTHS BUNDLED UP	205	0090	"<img src=""05225.svg"">"	
丁	street	street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign	atomic	839	0091	"<img src=""04e01.svg"">"	
町	town	town, village, block, street	a FIELD and a STREET is for a *town* all that you need	362	0092	"<img src=""0753a.svg"">"	
可	Can	can, passable, approval	"A MOUTH on the STREET asking for things: ""*Can* I get some help?!"	169	0093	"<img src=""053ef.svg"">"	
頂	place it on my head	place on the head, receive, top of head, top, summit, peak	when riding the bike on the STREET, i take a HEAD protection (helmet) and *place it on my head*	395	0094	"<img src=""09802.svg"">"	
子	child	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	atomic	43	0095	"<img src=""05b50.svg"">"	
孔	cavity	cavity, hole, slit, very, great, exceedingly	a CHILD only has a FISHHOOK available to carve a *cavity*	1966	0096	"<img src=""05b54.svg"">"	suspend_rare
了	complete	complete, finish	atomic	348	0097	"<img src=""04e86.svg"">"	
女	woman	woman, female	atomic	173	0098	"<img src=""05973.svg"">"	
好	fond	fond, pleasing, like something	a WOMAN is *fond* of her CHILD	157	0099	"<img src=""0597d.svg"">"	
如	likeness	likeness, like, such as, as if, better, best, equal	WOMEN with the same lipstick on their MOUTH have a certain *likeness*	1360	0100	"<img src=""05982.svg"">"	
