kanji	keyword	meanings	story	frequency_rank	rtk_index	stroke_svg	anki_tag
本	book	book, present, main, origin, true, real, counter for long cylindrical things	atomic	9	0211	"<img src=""0672c.svg"">"	
札	tag	tag, paper money, counter for bonds, placard, bid	on the TREE, I hang up a HOOK with a *tag* of my clan	525	0212	"<img src=""0672d.svg"">"	
暦	calendar	calendar, almanac	Years-Months-Days: It takes many years for a CLIFF to erode. TWO TREES takes many months to decompose. I can still track the days with a *calendar*	1798	0213	"<img src=""066a6.svg"">"	
案	plan	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench	I RELAX on top of the TREE and make a *plan* on how to escape from the bear that's chasing me	323	0214	"<img src=""06848.svg"">"	
燥	parch	parch (= ausdörren, austrocknen), dry up	with the slight heat of a FIRE or the sun, I *parch* some edible GOODS on a WOODEN surface, like fruits	1394	0215	"<img src=""071e5.svg"">"	
未	not yet	not yet, un-, hitherto, still, even now, sign of the ram	SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September	529	0216	"<img src=""0672a.svg"">"	
末	rtk: extremity	rtk: extremity, end, close, tip, powder, posterity	SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September	570	0217	"<img src=""0672b.svg"">"	
沫	splash	splash, suds	A *splash* is WATER that has reached its EXTREMITY.	9999	0218	"<img src=""06cab.svg"">"	suspend_rare
味	flavor	flavor, taste	the food is NOT YET in my MOUTH so I have to guess the *flavor*	120	0219	"<img src=""05473.svg"">"	
妹	younger sister	younger sister	the WOMAN which is NOT YET my height is my *younger sister*	1196	0220	"<img src=""059b9.svg"">"	
朱	vermilion	vermilion, cinnabar, scarlet, red, bloody	SPECIAL\n\nThe TREE's leaves ( 木 ) do NOT YET ( 未 ) have the color EXTREMITY ( 末 ) of VERMILION ( 朱 ) in September	1990	0221	"<img src=""06731.svg"">"	suspend_rare
株	stocks	stocks, stump, shares, stock, counter for small plants	*stocks* can have two states: green, like that of a healthy leaf  TREE or red, like VERMILION	398	0222	"<img src=""0682a.svg"">"	
若	young	young, if, perhaps, possibly, low number, immature	The *young* little girl held a FLOWER in her RIGHT hand.	609	0223	"<img src=""082e5.svg"">"	
草	grass	grass, weeds, herbs, pasture, write, draft	*grass* grows EARLIER than the FLOWERS	778	0224	"<img src=""08349.svg"">"	
苦	suffering	suffering, trial, worry, hardship, feel bitter, scowl	i buy a FLOWER for the OLD person in the hospital to lessen their *suffering*	606	0225	"<img src=""082e6.svg"">"	
寛	tolerant	tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded	a HOUSE where FLOWERS can be SEEN from the windows is probably *tolerant*	1703	0226	"<img src=""05bdb.svg"">"	
薄	dilute	dilute, thin, weak (tea), pampas grass	to *dilute* the elder FLOWER in WATER perfectly, you need a SPECIALTY in using DROPs	1005	0227	"<img src=""08584.svg"">"	
葉	leaves	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece	On top of the *leaves* a FLOWER appears, promising new GENERATIONS for the TREE below.	342	0228	"<img src=""08449.svg"">"	
模	imitation	imitation, copy, mock	a WOODEN GRAVEYARD is an *imitation* of a real one made of stone	777	0229	"<img src=""06a21.svg"">"	
漠	vague	vague, obscure, desert, wide	when lots of WATER enters the GRAVEYARDS premises, the remains of the corpses become *vague* and difficult to identify	1769	0230	"<img src=""06f20.svg"">"	
墓	graves	grave, tomb	below the GRAVEYARD is the SOIL in which the *graves* are placed	1534	0231	"<img src=""05893.svg"">"	
暮	livelihood	rtk: livelihood, twilight, season's end, livelihood, make a living, spend time	He made a *livelihood* out of robbing GRAVEYARDS in broad DAYlight.	678	0232	"<img src=""066ae.svg"">"	
膜	membrane	membrane	the BODIES found in the GRAVEYARD still have a *membrane*	1557	0233	"<img src=""0819c.svg"">"	
苗	seedlings	seedling, sapling, shoot	to make a FLOWER FIELD like in the netherlands, you need a lot of *seedlings*	1627	0234	"<img src=""082d7.svg"">"	
兆	a person's back	a person's back, 10^12, trillion, sign, omen, symptoms	SPECIAL\n\ntwo PERSON'S BACKS facing each other, with the arms on the other side	1730	0235	"<img src=""05146.svg"">"	
桃	peach	peach (tree)	the *peach* comes from a TREE and looks like a butt, which is on A PERSON'S BACK	1368	0236	"<img src=""06843.svg"">"	
眺	staring	stare, watch, look at, see, scrutinize	i feel a *staring* of someone's EYE on my BACK	1294	0237	"<img src=""0773a.svg"">"	
犬	dog	dog	atomic	701	0238	"<img src=""072ac.svg"">"	
状	status quo	status quo, conditions, circumstances, form, appearance	a TURTLE (SCHIGGY) and a DOG are two *status quo* pokemons / animals, respectively	227	0239	"<img src=""072b6.svg"">"	
黙	silent	silence, become silent, stop speaking, leave as is	next to the COMPUTER lies the DOG, enjoying the warmth of its HEAT, thus not barking and remaining *silent*	1500	0240	"<img src=""09ed9.svg"">"	
然	sort of thing	sort of thing, so, if so, in that case, well	cooking the FLESH of DOGS over FIRE - we don't do that *sort of thing* anymore	285	0241	"<img src=""07136.svg"">"	
荻	reed	reed = Schilf, rush	the WILD DOGS running from the FIRE cannot hide behind a FLOWER - but they can hide in the *reed* which is in the water	9999	0242	"<img src=""0837b.svg"">"	suspend_rare
狩	hunt	hunt, raid, gather	WILD DOGS GUARD the area in which they *hunt*	1334	0243	"<img src=""072e9.svg"">"	
猫	cat	cat	the *cat* hides from the WILD DOGS in the FLOWER FIELD	761	0244	"<img src=""0732b.svg"">"	
牛	cow	cow	atomic	957	0245	"<img src=""0725b.svg"">"	
特	special	special	a COW working in the BUDDHIST TEMPLE must be a *special* one	152	0246	"<img src=""07279.svg"">"	
告	revelation	revelation, tell, inform, announce	"The *revelation* makes the COW's MOUTH drop down, ""Hamburgers are made of what?!""."	272	0247	"<img src=""0544a.svg"">"	
先	before	before, ahead, previous, future, precedence	*before* human, minotaurs ruled Kreta. COWS with HUMAN LEGS!	117	0248	"<img src=""05148.svg"">"	
洗	wash	wash, inquire into, probe	I *wash* my body with WATER BEFORE i go to sleep	686	0249	"<img src=""06d17.svg"">"	
介	jammed in	jammed in, shellfish, mediate, concern oneself with	under an UMBRELLA, a person with a SABER (CURVED SWORD / STICK) and a person with a WALKING STICK are *jammed in*	217	0250	"<img src=""04ecb.svg"">"	
界	world	world, boundary	nowadays, carrots or potatoes are JAMMED INTO the FIELD almost everywhere in the *world*	236	0251	"<img src=""0754c.svg"">"	
茶	tea	tea	matcha is a kind of *tea* where the tea FLOWER is grown in the shade under an UMBRELLA, held up by a WOODEN POLE	542	0252	"<img src=""08336.svg"">"	
合	fits	fit, suit, join, 0.1	under the UMBRELLA *fits* ONE talking MOUTH	8	0253	"<img src=""05408.svg"">"	
塔	pagoda	pagoda, tower, steeple	the *pagoda* is constructed on the SOIL onto which FLOWERS FIT the best	1564	0254	"<img src=""05854.svg"">"	
王	king	king, rule, magnate	atomic	612	0255	"<img src=""0738b.svg"">"	
玉	jewel	jewel, ball	the small DROP on the KING'S scepter is a *jewel*	712	0256	"<img src=""07389.svg"">"	
宝	treasure	treasure, wealth, valuables	many JEWELS in one HOUSE make up the *treasure*	972	0257	"<img src=""05b9d.svg"">"	
珠	pearl	pearl, gem, jewel	the KING loves VERMILION and asked to find a *pearl* in that color	1566	0258	"<img src=""073e0.svg"">"	
現	present	present, existing, actual	a true KING can still be SEEN in the present, e.g., in Sweden or Denmark	136	0259	"<img src=""073fe.svg"">"	
狂	lunatic	lunatic, insane, crazy, confuse	WILD DOGS are used by the KING instead of guards because he's a *lunatic*	1370	0260	"<img src=""072c2.svg"">"	
皇	emperor	emperor	a WHITE robe wearing KING was called the *emperor* in ancient Rome	1271	0261	"<img src=""07687.svg"">"	
呈	displays	display, offer, present, send, exhibit	a KING with a big MOUTH *displays* all his belongings to guests	1893	0262	"<img src=""05448.svg"">"	suspend_rare
全	whole	whole, entire, all, complete, fulfill	under one UMBRELLA did the KING unite the *whole* kingdom	69	0263	"<img src=""05168.svg"">"	
栓	plug	plug, bolt, cork, bung, stopper	the TREE as a WHOLE was used to *plug* the holes in the wooden house	2042	0264	"<img src=""06813.svg"">"	suspend_rare
理	logic	logic, arrangement, reason, justice, truth	the KING of the principles of the COMPUTER is the mathematical field of *logic*	58	0265	"<img src=""07406.svg"">"	
主	lord	lord, chief, master, main thing, principal	a small DROP version of a KING is a *lord*	224	0266	"<img src=""04e3b.svg"">"	
注	pouring	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate	the LORD has WATER *pouring* through his garden fountains every day	134	0267	"<img src=""06ce8.svg"">"	
柱	pillar	pillar, post, cylinder, support	a TREE can be used as a *pillar*, for example in the old wooden church built for the LORD	1488	0268	"<img src=""067f1.svg"">"	
金	gold	gold, rtk-primitive: any metal	the stylish KING under the UMBRELLA has DROPS of *gold* on his left and right ear as piercings	94	0269	"<img src=""091d1.svg"">"	
銑	pig iron / Roheisen	pig iron = Roheisen	the METAL BEFORE it gets shaped into something is the *pig iron / Roheisen*	9999	0270	"<img src=""09291.svg"">"	suspend_rare
鉢	bowl	bowl, rice tub, pot, crown	this is the *bowl* of an alchemist who manipulates METALS using weird information from a BOOK	1574	0271	"<img src=""09262.svg"">"	
銅	copper	copper	*copper* is the METAL which is in the SAME copper cables all around the world	1887	0272	"<img src=""09285.svg"">"	suspend_rare
釣	angle	angling, fish, catch, allure, ensnare	the easiest way to *angle* is to take GOLDfish out of a jar with a LADLE	871	0273	"<img src=""091e3.svg"">"	
針	needle	needle, pin, staple, stinger	a METAL NEEDLE is one type of *needle*	965	0274	"<img src=""091dd.svg"">"	
銘	inscription	inscription, signature (of artisan)	on a METAL plate was my last NAME written in Porzellangasse 33a, so an *inscription* basically	1214	0275	"<img src=""09298.svg"">"	
鎮	tranquilized	tranquilize, ancient peace-preservation centers	i was *tranquilized* when i found out the GOLD which i purchased is TRUE, not a fake	1900	0276	"<img src=""093ae.svg"">"	suspend_rare
道	road way	road-way, street, district, journey, course, moral, teachings	a *road way* is a ROAD where i can see people's NECKS from between the car seat and their head supports	179	0277	"<img src=""09053.svg"">"	
導	guidance	guidance, leading, conduct, usher	For *guidance* on the ROADWAY, have a GPS unit GLUED to your car.	605	0278	"<img src=""05c0e.svg"">"	
辻	crossing	crossing, crossroad, street corners, (kokuji)	the *crossing* consists of TEN white stripes and a DROP of chewing gum, all on the ROAD	1781	0279	"<img src=""08fbb.svg"">"	
迅	swiftly	swift, fast	transporting TEN bluefin tunas on a FISHHOOK on the ROAD so i can make it *swiftly* to the fishmarket	1300	0280	"<img src=""08fc5.svg"">"	
造	created	create, make, structure, physique	the REVELATION of a new ROAD *created* new housing opportunities, but also more noise	488	0281	"<img src=""09020.svg"">"	
迫	urge	urge, force, imminent, spur on	the WHITE stripes on the ROAD *urge* you not to go beyond them	1187	0282	"<img src=""08feb.svg"">"	
逃	escape	escape, flee, shirk, evade, set free	with the BACK facing the ROAD, they *escape* into the forest and hide	942	0283	"<img src=""09003.svg"">"	
辺	environs	environs, boundary, border, vicinity	with a SWORD, standing by the ROAD, the samurai guards the *environs* of the land	446	0284	"<img src=""08fba.svg"">"	
巡	patrol	patrol, go around, circumference	in Venice, the police *patrol* also the RIVER ROADS	1270	0285	"<img src=""05de1.svg"">"	
車	car	car	atomic	148	0286	"<img src=""08eca.svg"">"	
連	take along	take along, lead, join, connect, party, gang, clique	the CARS on the ROAD *take along* people, but usually not many	137	0287	"<img src=""09023.svg"">"	
軌	rut	rut = Spuren in d Straße, wheel, track, model, way of doing	the CAR had to be pushed out by NINE people because it was stuck in a *rut*	1767	0288	"<img src=""08ecc.svg"">"	
輸	transports	transport, send, be inferior	this is a CAR which *transports* the cattle to a MEETING of BUTCHERS (flesh + sword)	850	0289	"<img src=""08f38.svg"">"	
前	in front	in front, before	*in front* of the BUTCHER shop, there is a sign made of HORNS.	41	0290	"<img src=""0524d.svg"">"	
各	Each	each, every, either	*Each* and every one of us walks (WALKING LEGS) and talks (MOUTH) differently.	330	0291	"<img src=""05404.svg"">"	
格	status	status, rank, capacity, character, case (law, grammar)	EACH WOOD has a certain *status* when it comes to furniture or floors	143	0292	"<img src=""0683c.svg"">"	
略	abbreviations	abbreviation, omission, outline, shorten, capture, plunder	the BRAIN cannot remember EVERY complex long name so we create *abbreviations*	735	0293	"<img src=""07565.svg"">"	
客	guest	guest, visitor, customer, client	EACH *guest* should feel like in their own HOUSE	249	0294	"<img src=""05ba2.svg"">"	
額	forehead	forehead, tablet, plaque, framed picture, sum, amount, volume	the GUEST'S HEAD becomes before everyone else, hence they are like the *forehead*	518	0295	"<img src=""0984d.svg"">"	
夏	summer	summer	in *summer*, at peak heat at ONE o'clock, ONESELF has to use the WALKING LEGS instead of the bike	379	0296	"<img src=""0590f.svg"">"	
処	dispose	dispose, manage, deal with, sentence, condemn, act, behave, place	WALKING in the WIND, I *dispose* of the remaining water in my wet hair	548	0297	"<img src=""051e6.svg"">"	
条	article	article, clause, counter for articles, clauses, paragraphs, etc., twig, item, stripe, streak	there was an *article* on a WALKING TREE - nonsense!	257	0298	"<img src=""06761.svg"">"	
落	fall	fall, drop, come down, village, hamlet	the cherry blossom FLOWERS *fall* into the WATER EACH hanami	314	0299	"<img src=""0843d.svg"">"	
冗	superfluous	superfluous, uselessness	"The king's CROWN was blown off by the WIND. ""Oh well,"" he said, ""it's just a *superfluous* symbol.""."	1909	0300	"<img src=""05197.svg"">"	suspend_rare
軍	army	army, force, troops, war, battle	the British CROWN has CARS in their *army*	811	0301	"<img src=""08ecd.svg"">"	
輝	radiance	radiance, shine, sparkle, gleam, twinkle	an ARMY of RAYS is emitting *radiance*	1172	0302	"<img src=""08f1d.svg"">"	
運	carry	carry, luck, destiny, fate, lot, transport, progress, advance	the ARMY is the ROAD to *carry* supplies and weapons	254	0303	"<img src=""0904b.svg"">"	
冠	CROWN	crown, best, peerless	the *CROWN* of the ORIGIN has a lot of fancy stuff GLUED to it	1711	0304	"<img src=""051a0.svg"">"	
夢	dream	dream, vision, illusion	i put some FLOWER extract on my EYEs, and to CROWN my EVENING, I have a pleasant *dream*	648	0305	"<img src=""05922.svg"">"	
坑	pit	pit, hole	the WHIRLWIND was so strong on the SOIL, it created a *pit*	2624	0306	"<img src=""05751.svg"">"	suspend_rare
高	TALL	tall, high, expensive	imagine a *TALL* person in a HOOD and only a MOUTH visible - intimidating	86	0307	"<img src=""09ad8.svg"">"	
享	receives	receive, enjoy, undergo, answer (phone), take, get, catch	the TALLER the CHILD, the more basketballs passes it *receives*	2396	0308	"<img src=""04eab.svg"">"	suspend_rare
塾	cram school	cram school, private school	Welcome to our *cram school*: you will RECEIVE a well ROUNDED education on our GROUNDS	1292	0309	"<img src=""0587e.svg"">"	
熟	mellow	mellow (= zart), ripen, mature, acquire skill	RECEIVING a ROUNDED object from the bbq FIRE is often a marsh*mellow*	1251	0310	"<img src=""0719f.svg"">"	
亭	pavillon	pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name	the TALLest *pavillon* CROWNS the STREET	1421	0311	"<img src=""04ead.svg"">"	
京	capital	capital, 10**16	When we think of a *capital*  city today we think of TALL  skyscrapers dwarfing the endless swarms of LITTLE folk scurrying here and there about their business.	275	0312	"<img src=""04eac.svg"">"	
涼	refreshing	refreshing, nice and cool	WATER fountains in the CAPITAL makes it more *refreshing* in the summer	1148	0313	"<img src=""06dbc.svg"">"	
景	scenery	scenery, view	Imaging the SUN rising over the CAPITAL–classic postcard *scenery*	649	0314	"<img src=""0666f.svg"">"	
鯨	whale	whale	if FISH had a CAPITAL, it would certainly be the *whale*	2273	0315	"<img src=""09be8.svg"">"	suspend_rare
舎	cottage	cottage, inn, hut, house, mansion	The *cottage* is so small - it has an UMBRELLA for the roof; SOIL for the floor and room for only one MOUTH.	1110	0316	"<img src=""0820e.svg"">"	
周	circumference	circumference, circuit, lap	the *circumference* of the LIDDED CROCK (= SOIL + MOUTH) can be measured by putting a cloth HOOD over it	380	0317	"<img src=""05468.svg"">"	
週	week	week	imagine a ROAD where you can drive the Earth's CIRCUMFERENCE in only a *week*	303	0318	"<img src=""09031.svg"">"	
士	gentleman	gentleman, scholar, samurai, samurai radical (no. 33)	atomic	468	0319	"<img src=""058eb.svg"">"	
吉	good luck	good luck, joy, congratulations	before the SAMURAI goes into battle, you say with your MOUTH: *good luck*	775	0320	"<img src=""05409.svg"">"	
壮	robust	robust, manhood, prosperity	the BACK of the SAMURAI is *robust* thanks to his armor	1771	0321	"<img src=""058ee.svg"">"	
荘	villa	villa, inn, cottage, feudal manor, solemn, dignified	the *villa* is decorated with FLOWERS and surrounded by a ROBUST fence	1438	0322	"<img src=""08358.svg"">"	
売	sell it	sell	the SAMURAI found a CROWN by a body with only HUMAN LEGS remaining and now wants to *sell it*	127	0323	"<img src=""058f2.svg"">"	
学	study	study, learning, science	a SCHOOL HOUSE is a place where CHILDREN *study*	61	0324	"<img src=""05b66.svg"">"	
覚	memorize	memorize, learn, remember, awake, sober up	SEEING things in the SCHOOL HOUSE makes then best to *memorize* because of the visual image	502	0325	"<img src=""0899a.svg"">"	
栄	flourishes	flourish, prosperity, honor, glory, splendor	the TREE in the SCHOOL HOUSE *flourishes* because there are always people that water it	979	0326	"<img src=""06804.svg"">"	
書	write	write	the calligrapher at the goshuincho window uses the BRUSH every DAY to *write* goshuins	46	0327	"<img src=""066f8.svg"">"	
津	haven	haven, port, harbor, ferry	The *haven* for a BRUSH is in WATER.. Otherwise they get dry and withered and cant be used?!	881	0328	"<img src=""06d25.svg"">"	
牧	herded	new: herding, breed, care for, shepherd, feed, pasture	the COWS are being *herded* by the TASKMASTER	1352	0329	"<img src=""07267.svg"">"	
攻	aggression	aggression, attack, criticize, polish	*aggression* is a well-honed CRAFT for any decent TASKMASTER	753	0330	"<img src=""0653b.svg"">"	
敗	failure	failure, defeat, reversal	If you end up in *failure*, you give MONEY to the TASKMASTER to train you.	766	0331	"<img src=""06557.svg"">"	
枚	sheet of	sheet of..., counter for flat thin objects or sheets	from a TREE itself is the strict TASKMASTER is making you make a *sheet of* paper	692	0332	"<img src=""0679a.svg"">"	
故	happenstance	happenstance (= coincidence), especially, intentionally, reason, cause, circumstances, the late, therefore, consequently	Only an OLD TASKMASTER uses a stupid word like *happenstance* instead of the many less pretentious synonyms for luck or chance.	689	0333	"<img src=""06545.svg"">"	
敬	awe	awe ( = Ehrfurcht), respect, honor, revere	The FLOWERy PHRASES of keigo ( 敬語 ) with which you must address the TASKMASTER in *awe*	1322	0334	"<img src=""0656c.svg"">"	
言	say	say, word	atomic	55	0335	"<img src=""08a00.svg"">"	
警	admonish	admonish ( = ermahnen), commandment	To *admonish* is to enforce AWE by means of WORDS	951	0336	"<img src=""08b66.svg"">"	
計	plot	plot, plan, scheme, measure	TEN WORDS should be enough to summarize the *plot* of many books	247	0337	"<img src=""08a08.svg"">"	
獄	prison	prison, jail	the WILD DOG was SAYING he is a normal DOG! Yet he was still put to *prison*	1596	0338	"<img src=""07344.svg"">"	
訂	revised	revise, correct, decide	WORDS that penetrate like a NAIL should maybe be *revised*	1459	0339	"<img src=""08a02.svg"">"	
討	chastise	chastise = zurechtweisen, attack, defeat, destroy, conquer	If you *chastise* someone correctly the WORDS will stick like GLUE.	827	0340	"<img src=""08a0e.svg"">"	
訓	instruction	instruction, Japanese character reading, explanation, read	in an *instruction*, it's particularly important that the WORDS have a good STREAM	1308	0341	"<img src=""08a13.svg"">"	
詔	imperial edict	imperial edict	the *imperial edict* is a bunch of WORDS to SEDUCE the masses	3181	0342	"<img src=""08a54.svg"">"	suspend_rare
詰	packed	packed, close, pressed, reprove, rebuke, blame	WORDS of GOOD LUCK are *packed* into fortune cookies.	1022	0343	"<img src=""08a70.svg"">"	
話	tale	tale, talk	as for a good *tale*, the WORDS should roll off nicely off the TONGUE	87	0344	"<img src=""08a71.svg"">"	
詠	recitation	recitation, poem, song, composing	in order to perform a *recitation*, I have to repeat the WORDS for an ETERNITY	2057	0345	"<img src=""08a60.svg"">"	suspend_rare
詩	poem	poem, poetry	the WORDS at the BUDDHIST TEMPLE  were an old Japanese *poem*	1221	0346	"<img src=""08a69.svg"">"	
語	words	word, speech, language	what I am SAYING are *words*	193	0347	"<img src=""08a9e.svg"">"	
読	read	read	when you *read*, the person who wrote it tries to SELL you their WORDS	163	0348	"<img src=""08aad.svg"">"	
調	tune	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate	To *tune* an old-fashioned radio, you turn the dial the full range of the CIRCUMFERENCE, until you can clearly hear the WORDS	231	0349	"<img src=""08abf.svg"">"	
談	discussion	discuss, talk	WORDS are reaching the state of an INFLAMMATION during a heated *discussion*	474	0350	"<img src=""08ac7.svg"">"	
諾	consent	consent, assent, agreement	the WORDS of the YOUNG people place much emphasis on *consent*	1441	0351	"<img src=""08afe.svg"">"	
諭	rebuke	rebuke = Rüge, admonish, charge, warn, persuade	a *rebuke* is like WORDS coming to a MEETING OF BUTCHERS and being slaughtered for an unpleasant purpose	2091	0352	"<img src=""08aed.svg"">"	suspend_rare
式	style	style, ceremony, rite, function, method, system, form, expression	Each tribe CRAFTS their ARROWS in a certain *style*	237	0353	"<img src=""05f0f.svg"">"	
試	test	test, try, attempt, experiment, ordeal	for a *test*, both WORDS and STYLE matter when judged by the teacher	349	0354	"<img src=""08a66.svg"">"	
弐	TWO	II, two, second	think of *TWO* arrows in a QUIVER (= ONE + ARROW)	2318	0355	"<img src=""05f10.svg"">"	suspend_rare
域	range	range, region, limits, stage, level	when the pirates were in *range* of LAND, they kissed the ground with the MOUTH ONE by one and had a FIESTA	352	0356	"<img src=""057df.svg"">"	
賊	burglar	burglar, rebel, traitor, robber	the *burglar* steals MONEY using a NEEDLE to pick locks of the homes of people that are at the FIESTA	1812	0357	"<img src=""08cca.svg"">"	suspend_rare
栽	plantation	plantation, planting	The *plantation* is where we get our Christmas TREE. We pick them out at THANKSGIVING to be sure we get a good one.	1395	0358	"<img src=""0683d.svg"">"	
載	load	load, board, get on, place, spread, 10^44, record, publish	After eating a big THANKSGIVING dinner, you have to be careful in the CAR ride home not to drop a *load* in your pants.	164	0359	"<img src=""08f09.svg"">"	
茂	overgrown	overgrown, grow thick, be luxuriant	the FLOWER above the PARADE is *overgrown* so it's as imposing as possible	1541	0360	"<img src=""08302.svg"">"	
成	turn into	turn into, become, get, grow, elapse, reach	when the PARADE is WRAPPED UP, its people *turn into* a small back alley and vanish	100	0361	"<img src=""06210.svg"">"	
城	castle's	castle	the *castle's* SOIL on which it is built TURNS INTO royal ground	703	0362	"<img src=""057ce.svg"">"	
誠	sincerity	sincerity, admonish, warn, prohibit, truth, fidelity	*sincerity* is when WORDS TURN INTO action	1259	0363	"<img src=""08aa0.svg"">"	
威	intimidating	intimidate, dignity, majesty, menace, threaten	the MARCH consisted of tall amazonian WOMEN who were quite *intimidating*	1450	0364	"<img src=""05a01.svg"">"	
滅	destroyed	destroy, ruin, overthrow, perish	the MARCH of the FIRE nation *destroyed* the WATER nation (avatar)	1208	0365	"<img src=""06ec5.svg"">"	
減	dwindled	dwindle = schwinden, decrease, reduce, decline, curtail, get hungry	the MARCH of the shouting MOUTHS was *dwindled* using spraying WATER	632	0366	"<img src=""06e1b.svg"">"	
桟	scaffolds	scaffold = Gerüst, cleat, frame, jetty, bolt (door)	Japanese festival FLOATS are often so tall they need WOODEN *scaffolds* to be completed.	2445	0367	"<img src=""0685f.svg"">"	suspend_rare
銭	coin	coin, .01 yen, money	the 1 yen *coin*, despite being made from METAL, will FLOAT on a water surface	1451	0368	"<img src=""092ad.svg"">"	
浅	shallow	shallow, superficial, frivolous, wretched, shameful	if you place a toy boat on some *shallow* WATER which you cannot see so well, it can look like it's FLOATING	1250	0369	"<img src=""06d45.svg"">"	
止	stop	stop, halt	atomic	377	0370	"<img src=""06b62.svg"">"	
歩	walked	walk, counter for steps	STOPPING only A FEW times, I *walked* the whole pilgrimage route	347	0371	"<img src=""06b69.svg"">"	
渉	to ford	ford, go cross, transit, ferry, import, involve	WALKING across a stream of WATER is called *to ford*	1446	0372	"<img src=""06e09.svg"">"	
頻	repeatedly	repeatedly, recur	the annoying fly WALKED over my HEAD *repeatedly* whilst I was napping	1515	0373	"<img src=""0983b.svg"">"	
肯	agreement	agreement, consent, comply with	The peace *agreement* put a STOP on the fighting for a MONTH (MOON)	2216	0374	"<img src=""080af.svg"">"	suspend_rare
企	undertake	undertake, scheme, design, attempt, plan	In Resident Evil, you *undertake* a mission to STOP UMBRELLA from infecting the country with the T-Virus.	363	0375	"<img src=""04f01.svg"">"	
歴	curriculum	curriculum, continuation, passage of time	A *curriculum* is a CALENDAR that -replaces DAYS- with reasons to STOP having fun.	607	0376	"<img src=""06b74.svg"">"	
武	warrior	warrior, military, chivalry, arms	the *warrior* with the QUIVER STOPS in the forest to see if they can find a target	745	0377	"<img src=""06b66.svg"">"	
賦	levy	levy = Abgabe, ode, prose, poem, tribute, installment	a WARRIOR stands guard on a bridge, collecting MONEY as *levy* from anyone who wants to pass	2489	0378	"<img src=""08ce6.svg"">"	suspend_rare
正	correct	correct, justice, righteous, 10**40	the teacher's question STOPS at response number ONE if it is *correct*	221	0379	"<img src=""06b63.svg"">"	
証	evidence	evidence, proof, certificate	*evidence* proves that your WORDS are CORRECT	437	0380	"<img src=""08a3c.svg"">"	
政	politics	politics, government	if the strict TASKMASTER is CORRECT on a lot of issues, they should go into *politics*	388	0381	"<img src=""0653f.svg"">"	
定	determined	determine, fix, establish, decide	the *determined* survivor in DbD does the MENDING in the main HOUSE, even if the killer is nearby	38	0382	"<img src=""05b9a.svg"">"	
錠	lock	lock, fetters, shackles	the METAL piece in the door which DETERMINES which key fits is the *lock*	2000	0383	"<img src=""09320.svg"">"	suspend_rare
走	run	run	*run* TEN miles in order to MEND your fitness issues	553	0384	"<img src=""08d70.svg"">"	
超	transcends	transcend, super-, ultra-	the monk RUNS from the SEDUCING pleasures of life and *transcends* to a spiritual plane	575	0385	"<img src=""08d85.svg"">"	
赴	proceed	proceed, get, become, tend	in order to *proceed* to Hogwarts and get his MAGIC WAND, Harry Potter has to RUN through a wall at the train platform	2092	0386	"<img src=""08d74.svg"">"	suspend_rare
越	surpass	surpass, cross over, move to, exceed, Vietnam	RUN past the PARADE in order to *surpass* it	556	0387	"<img src=""08d8a.svg"">"	
是	just so	just so, this, right, justice	*just so*, going out into the SUN can MEND your problems	836	0388	"<img src=""0662f.svg"">"	
題	topics	topic, subject	some *topics* JUST SO appear in your HEAD	199	0389	"<img src=""0984c.svg"">"	
堤	dike	dike = Deich, bank, embankment	arranging the SOIL JUST SO stops the water from flowing and creates *dike*	1918	0390	"<img src=""05824.svg"">"	suspend_rare
建	build	build	A construction worker's classic morning: STRETCH,  BRUSH his teeth, and then start to *build*	459	0391	"<img src=""05efa.svg"">"	
延	prolong	prolong, stretching	I'm doing a bit of STRETCHING and MENDING of problems in order to *prolong* my workday	1035	0392	"<img src=""05ef6.svg"">"	
誕	nativity	nativity, be born, declension, lie, be arbitrary	during *nativity*, the WORDS which the mother screamed were PROLONGED	884	0393	"<img src=""08a95.svg"">"	
礎	cornerstones	cornerstone, foundation stone	Features like STONES and GROVES of trees are the *cornerstones* of a happy ZOO.	1050	0394	"<img src=""0790e.svg"">"	
婿	bridegroom	bridegroom, son-in-law	at the wedding is the WOMAN (wife), a ZOO of children, the FLESH of hundreds of relatives, and lastly, the *bridegroom*	2704	0395	"<img src=""05a7f.svg"">"	suspend_rare
衣	garments	garment, clothes, dressing	TOP HAT and SCARF are the most important *garments* (fancy word for clothes) for the hipster in the winter	998	0396	"<img src=""08863.svg"">"	
